Date,Timestamp,Account No,Balance,Amount,Third Party Account No,Third Party Name,transaction_datetime
01/01/2025,00:00,672714995.0,2662.5,1842.5,,A Life on Canvas,2025-01-01 00:00:00
01/01/2025,00:00,542959922.0,3429.0,1842.0,,Amazon,2025-01-01 00:00:00
01/01/2025,00:00,710042126.0,4397.0,2999.0,,Dorothy Perkins,2025-01-01 00:00:00
01/01/2025,00:00,529326996.0,4030.0,2500.0,,Amazon,2025-01-01 00:00:00
01/01/2025,00:00,529326996.0,3030.0,-1000.0,114686082.0,,2025-01-01 00:00:00
01/01/2025,00:00,114686082.0,1991.0,1000.0,529326996.0,,2025-01-01 00:00:00
01/01/2025,00:00,400532172.0,2208.0,1544.0,,A Cut Above,2025-01-01 00:00:00
01/01/2025,00:00,387286312.0,2736.92,1738.92,,Victoria Park,2025-01-01 00:00:00
01/01/2025,00:00,387286312.0,2306.92,-430.0,140620855.0,,2025-01-01 00:00:00
01/01/2025,00:00,140620855.0,1014.0,430.0,387286312.0,,2025-01-01 00:00:00
01/01/2025,00:00,939341870.0,2399.0,1675.0,,Stitch By Stitch,2025-01-01 00:00:00
01/01/2025,00:00,939341870.0,1969.0,-430.0,769895195.0,,2025-01-01 00:00:00
01/01/2025,00:00,769895195.0,1289.0,430.0,939341870.0,,2025-01-01 00:00:00
01/01/2025,00:00,358354029.0,3741.0,2292.0,,Howlader and Co Chartered Accountants,2025-01-01 00:00:00
01/01/2025,00:00,169814460.0,3419.0,1904.0,,Amazon,2025-01-01 00:00:00
01/01/2025,00:00,169814460.0,2939.0,-480.0,277533267.0,,2025-01-01 00:00:00
01/01/2025,00:00,277533267.0,1151.0,480.0,169814460.0,,2025-01-01 00:00:00
01/01/2025,00:00,196326350.0,3046.0,1644.0,,Mountain Warehouse,2025-01-01 00:00:00
01/01/2025,00:00,196326350.0,1726.0,-1320.0,232114746.0,,2025-01-01 00:00:00
01/01/2025,00:00,232114746.0,2884.0,1320.0,196326350.0,,2025-01-01 00:00:00
01/01/2025,00:00,949482734.0,2616.0,2021.0,,A Cut Above,2025-01-01 00:00:00
01/01/2025,00:00,366921691.0,3832.0,2567.0,,Amazon,2025-01-01 00:00:00
01/01/2025,00:00,260308520.0,2549.0,1675.0,,White Hart,2025-01-01 00:00:00
01/01/2025,00:00,965981004.0,3197.5,1842.5,,A Life on Canvas,2025-01-01 00:00:00
01/01/2025,00:00,809234749.0,3893.6,1916.6,,Coffee Republic,2025-01-01 00:00:00
01/01/2025,00:00,736619550.0,3530.0,1833.0,,LBG,2025-01-01 00:00:00
01/01/2025,00:00,964427699.0,3651.0,1943.0,,Happy Days Home,2025-01-01 00:00:00
01/01/2025,00:00,964427699.0,2351.0,-1300.0,736619550.0,,2025-01-01 00:00:00
01/01/2025,00:00,736619550.0,4830.0,1300.0,964427699.0,,2025-01-01 00:00:00
01/01/2025,00:00,779575942.0,3048.0,1675.0,,Craftastic,2025-01-01 00:00:00
01/01/2025,00:00,653253791.0,3427.0,1675.0,,Stitch By Stitch,2025-01-01 00:00:00
01/01/2025,00:00,192143397.0,3491.0,1675.0,,Wool,2025-01-01 00:00:00
01/01/2025,00:00,227427525.0,2854.6,1916.6,,The View,2025-01-01 00:00:00
01/01/2025,00:00,831162916.0,3662.0,1706.0,,Happy Days Home,2025-01-01 00:00:00
01/01/2025,00:00,833173474.0,4029.0,2870.0,,Five Senses Art,2025-01-01 00:00:00
01/01/2025,00:00,833173474.0,3079.0,-950.0,403007626.0,,2025-01-01 00:00:00
01/01/2025,00:00,307256374.0,2812.0,-310.0,775182841.0,,2025-01-01 00:00:00
01/01/2025,00:00,775182841.0,1282.0,310.0,307256374.0,,2025-01-01 00:00:00
01/01/2025,00:00,214022887.0,1620.0,540.0,614996938.0,,2025-01-01 00:00:00
01/01/2025,00:00,753308274.0,2480.0,1596.0,,Happy Days Home,2025-01-01 00:00:00
01/01/2025,00:00,456524383.0,4517.0,2683.0,,Amazon,2025-01-01 00:00:00
01/01/2025,00:00,237522697.0,2552.0,1675.0,,Gamestation,2025-01-01 00:00:00
01/01/2025,00:00,306758965.0,3635.0,2475.0,,LBG,2025-01-01 00:00:00
01/01/2025,00:00,888452243.0,3262.1,1620.1,,Coffee Republic,2025-01-01 00:00:00
01/01/2025,00:00,352666811.0,3404.0,2780.0,,Sainsbury,2025-01-01 00:00:00
01/01/2025,00:00,855774662.0,3901.0,2300.0,,Town High,2025-01-01 00:00:00
01/01/2025,00:00,933460563.0,3747.0,1900.0,,Dorothy Perkins,2025-01-01 00:00:00
01/01/2025,00:00,463285508.0,2799.0,1825.0,,Dorothy Perkins,2025-01-01 00:00:00
01/01/2025,00:00,340335840.0,2743.0,1675.0,,Sainsbury,2025-01-01 00:00:00
01/01/2025,00:00,234642965.0,3349.0,2600.0,,Lloyds Pharmacy,2025-01-01 00:00:00
01/01/2025,00:00,558411682.0,3247.0,1625.0,,The Royal Oak,2025-01-01 00:00:00
01/01/2025,00:00,558411682.0,2597.0,-650.0,704770024.0,,2025-01-01 00:00:00
01/01/2025,00:00,704770024.0,2485.0,650.0,558411682.0,,2025-01-01 00:00:00
01/01/2025,00:00,641303771.0,2262.0,1675.0,,Sainsbury,2025-01-01 00:00:00
01/01/2025,00:00,817100146.0,1428.0,570.0,260734376.0,,2025-01-01 00:00:00
01/01/2025,00:00,814404385.0,2326.5,1542.5,,Craftastic,2025-01-01 00:00:00
01/01/2025,00:00,619561188.0,4516.1,2648.1,,Town High,2025-01-01 00:00:00
01/01/2025,00:00,619561188.0,3456.1000000000004,-1060.0,463261831.0,,2025-01-01 00:00:00
01/01/2025,00:00,463261831.0,2292.0,1060.0,619561188.0,,2025-01-01 00:00:00
01/01/2025,00:00,234487879.0,2584.0,1287.0,,Dorothy Perkins,2025-01-01 00:00:00
01/01/2025,00:00,323326407.0,2404.1,1620.1,,Coffee Republic,2025-01-01 00:00:00
01/01/2025,00:00,259949730.0,2564.0,1655.0,,Game,2025-01-01 00:00:00
01/01/2025,00:00,345535071.0,3013.0,1675.0,,Game,2025-01-01 00:00:00
01/01/2025,00:00,167380719.0,3972.3,2083.3,,White Hart,2025-01-01 00:00:00
01/01/2025,00:00,619971616.0,3354.0,1596.0,,Happy Days Home,2025-01-01 00:00:00
01/01/2025,00:00,674816020.0,2463.0,1675.0,,Dorothy Perkins,2025-01-01 00:00:00
01/01/2025,00:00,674816020.0,2043.0,-420.0,487979491.0,,2025-01-01 00:00:00
01/01/2025,00:00,487979491.0,1148.0,420.0,674816020.0,,2025-01-01 00:00:00
01/01/2025,00:00,119524898.0,2904.0,1675.0,,The Royal Oak,2025-01-01 00:00:00
01/01/2025,00:00,701627510.0,3116.0,1675.0,,Wool,2025-01-01 00:00:00
01/01/2025,00:00,533804363.0,3300.0,2300.0,,Town High,2025-01-01 00:00:00
01/01/2025,00:00,986910751.0,2983.5,1842.5,,Five Senses Art,2025-01-01 00:00:00
01/01/2025,00:00,827116807.0,3124.0,2550.0,,Amazon,2025-01-01 00:00:00
01/01/2025,00:00,827116807.0,2484.0,-640.0,871548824.0,,2025-01-01 00:00:00
01/01/2025,00:00,871548824.0,2504.0,640.0,827116807.0,,2025-01-01 00:00:00
01/01/2025,00:00,139373971.0,3553.0,1706.0,,Happy Days Home,2025-01-01 00:00:00
01/01/2025,00:00,502667038.0,2798.0,1625.0,,White Hart,2025-01-01 00:00:00
01/01/2025,00:00,538212119.0,3240.1,1620.1,,Full of Beans,2025-01-01 00:00:00
01/01/2025,00:00,538212119.0,2590.1,-650.0,829906314.0,,2025-01-01 00:00:00
01/01/2025,00:00,829906314.0,1301.0,650.0,538212119.0,,2025-01-01 00:00:00
01/01/2025,00:00,133611714.0,2854.0,1675.0,,Wool,2025-01-01 00:00:00
01/01/2025,00:00,133611714.0,2664.0,-190.0,339604881.0,,2025-01-01 00:00:00
01/01/2025,00:00,339604881.0,1714.0,190.0,133611714.0,,2025-01-01 00:00:00
01/01/2025,00:00,119848911.0,2584.0,1675.0,,Wool,2025-01-01 00:00:00
01/01/2025,00:00,119848911.0,2164.0,-420.0,852728869.0,,2025-01-01 00:00:00
01/01/2025,00:00,852728869.0,2329.0,420.0,119848911.0,,2025-01-01 00:00:00
01/01/2025,00:00,945093843.0,3065.0,1856.0,,Amazon,2025-01-01 00:00:00
01/01/2025,00:00,945093843.0,2325.0,-740.0,573143664.0,,2025-01-01 00:00:00
01/01/2025,00:00,573143664.0,2161.0,740.0,945093843.0,,2025-01-01 00:00:00
01/01/2025,00:00,879618727.0,3045.0,1680.0,,CeX,2025-01-01 00:00:00
01/01/2025,00:00,575282647.0,3121.5,1842.5,,A Life on Canvas,2025-01-01 00:00:00
01/01/2025,00:00,575282647.0,2661.5,-460.0,374134348.0,,2025-01-01 00:00:00
01/01/2025,00:00,374134348.0,1823.0,460.0,575282647.0,,2025-01-01 00:00:00
01/01/2025,00:00,538231250.0,4339.0,3333.0,,Boots,2025-01-01 00:00:00
01/01/2025,00:00,221168547.0,2196.0,1680.0,,Gamestation,2025-01-01 00:00:00
01/01/2025,00:00,221168547.0,1776.0,-420.0,141339885.0,,2025-01-01 00:00:00
01/01/2025,00:00,141339885.0,2420.0,420.0,221168547.0,,2025-01-01 00:00:00
01/01/2025,00:00,410360564.0,2851.5,1842.5,,A Life on Canvas,2025-01-01 00:00:00
01/01/2025,00:00,302342234.0,2415.0,1675.0,,The Royal Oak,2025-01-01 00:00:00
01/01/2025,00:00,302342234.0,1995.0,-420.0,680269090.0,,2025-01-01 00:00:00
01/01/2025,00:00,680269090.0,1031.0,420.0,302342234.0,,2025-01-01 00:00:00
01/01/2025,00:00,233436437.0,5249.0,3957.0,,LBG,2025-01-01 00:00:00
01/01/2025,00:00,233436437.0,3999.0,-1250.0,274234591.0,,2025-01-01 00:00:00
01/01/2025,00:00,620248116.0,2784.0,1819.0,,Happy Days Home,2025-01-01 00:00:00
01/01/2025,00:00,675469409.0,3325.0,2739.0,,Amazon,2025-01-01 00:00:00
01/01/2025,00:00,675469409.0,2625.0,-700.0,615841733.0,,2025-01-01 00:00:00
01/01/2025,00:00,615841733.0,1669.0,700.0,675469409.0,,2025-01-01 00:00:00
01/01/2025,00:00,846060772.0,3708.75,3087.75,,Howlader and Co Chartered Accountants,2025-01-01 00:00:00
01/01/2025,00:00,979036240.0,4044.0,2250.0,,LBG,2025-01-01 00:00:00
01/01/2025,00:00,979036240.0,3484.0,-560.0,583489607.0,,2025-01-01 00:00:00
01/01/2025,00:00,583489607.0,1922.0,560.0,979036240.0,,2025-01-01 00:00:00
01/01/2025,00:00,604789281.0,4960.0,4119.0,,Boots,2025-01-01 00:00:00
01/01/2025,00:00,604789281.0,3780.0,-1180.0,610212644.0,,2025-01-01 00:00:00
01/01/2025,00:00,519598586.0,3150.1,1620.1,,The View,2025-01-01 00:00:00
01/01/2025,00:00,975535052.0,3089.0,2021.0,,A Cut Above,2025-01-01 00:00:00
01/01/2025,00:00,692098867.0,3635.0,2277.0,,LBG,2025-01-01 00:00:00
01/01/2025,00:00,747064579.0,3639.0,2917.0,,LBG,2025-01-01 00:00:00
01/01/2025,00:00,697667777.0,3659.1,2648.1,,Town High,2025-01-01 00:00:00
01/01/2025,00:00,697667777.0,2759.1,-900.0,775394167.0,,2025-01-01 00:00:00
01/01/2025,00:00,775394167.0,1914.0,900.0,697667777.0,,2025-01-01 00:00:00
01/01/2025,00:00,417749255.0,5295.0,3749.0,,LBG,2025-01-01 00:00:00
01/01/2025,00:00,417749255.0,3795.0,-1500.0,534823079.0,,2025-01-01 00:00:00
01/01/2025,00:00,534823079.0,2450.0,1500.0,417749255.0,,2025-01-01 00:00:00
01/01/2025,00:00,391305592.0,2762.1,1620.1,,Full of Beans,2025-01-01 00:00:00
01/01/2025,00:00,328525222.0,3625.5,1842.5,,A Life on Canvas,2025-01-01 00:00:00
01/01/2025,00:00,480358103.0,3471.0,1675.0,,The Royal Oak,2025-01-01 00:00:00
01/01/2025,00:00,285939889.0,3777.6,1916.6,,The View,2025-01-01 00:00:00
01/01/2025,00:00,164337916.0,3704.0,2773.0,,A Cut Above,2025-01-01 00:00:00
01/01/2025,00:00,877919607.0,3053.0,1675.0,,The Crown,2025-01-01 00:00:00
01/01/2025,00:00,877919607.0,2633.0,-420.0,914534742.0,,2025-01-01 00:00:00
01/01/2025,00:00,914534742.0,1020.0,420.0,877919607.0,,2025-01-01 00:00:00
01/01/2025,00:00,294890250.0,2658.0,1694.0,,Happy Days Home,2025-01-01 00:00:00
01/01/2025,00:00,293346437.0,2944.0,1695.0,,Dorothy Perkins,2025-01-01 00:00:00
01/01/2025,00:00,722223895.0,3287.0,1675.0,,Craftastic,2025-01-01 00:00:00
01/01/2025,00:00,454527149.0,3177.0,1675.0,,Stitch By Stitch,2025-01-01 00:00:00
01/01/2025,00:00,414568641.0,3221.0,1675.0,,The Crown,2025-01-01 00:00:00
01/01/2025,00:00,414568641.0,2691.0,-530.0,646268650.0,,2025-01-01 00:00:00
01/01/2025,00:00,646268650.0,2010.0,530.0,414568641.0,,2025-01-01 00:00:00
01/01/2025,00:00,634167952.0,2895.0,1675.0,,Craftastic,2025-01-01 00:00:00
01/01/2025,00:00,634167952.0,2275.0,-620.0,785945606.0,,2025-01-01 00:00:00
01/01/2025,00:00,823289985.0,3632.0,1675.0,,Gamestation,2025-01-01 00:00:00
01/01/2025,00:00,496171351.0,2889.3,2083.3,,The Crown,2025-01-01 00:00:00
01/01/2025,00:00,496171351.0,2089.3,-800.0,118072307.0,,2025-01-01 00:00:00
01/01/2025,00:00,118072307.0,1704.0,800.0,496171351.0,,2025-01-01 00:00:00
01/01/2025,00:00,295413553.0,3509.0,2601.0,,Lloyds Pharmacy,2025-01-01 00:00:00
01/01/2025,00:00,386096851.0,4629.66,2841.66,,Town High,2025-01-01 00:00:00
01/01/2025,00:00,190062824.0,3802.6,1916.6,,The View,2025-01-01 00:00:00
01/01/2025,00:00,508417291.0,2851.0,1625.0,,White Hart,2025-01-01 00:00:00
01/01/2025,00:00,650034947.0,3462.0,2505.0,,Amazon,2025-01-01 00:00:00
01/01/2025,00:00,734680231.0,4152.0,2210.0,,Amazon,2025-01-01 00:00:00
01/01/2025,00:00,734680231.0,3272.0,-880.0,348320277.0,,2025-01-01 00:00:00
01/01/2025,00:00,348320277.0,1939.0,880.0,734680231.0,,2025-01-01 00:00:00
01/01/2025,00:00,780978664.0,3280.5,1842.5,,Five Senses Art,2025-01-01 00:00:00
01/01/2025,00:00,780978664.0,2820.5,-460.0,146353544.0,,2025-01-01 00:00:00
01/01/2025,00:00,146353544.0,1538.0,460.0,780978664.0,,2025-01-01 00:00:00
01/01/2025,00:00,801576534.0,3056.0,2042.0,,Howlader and Co Chartered Accountants,2025-01-01 00:00:00
01/01/2025,00:00,616859189.0,3744.0,1750.0,,The View,2025-01-01 00:00:00
01/01/2025,00:00,669171163.0,5066.0,3125.0,,Howlader and Co Chartered Accountants,2025-01-01 00:00:00
01/01/2025,00:00,669171163.0,4286.0,-780.0,523503688.0,,2025-01-01 00:00:00
01/01/2025,00:00,523503688.0,2265.0,780.0,669171163.0,,2025-01-01 00:00:00
01/01/2025,00:00,860843460.0,2992.0,1675.0,,Mountain Warehouse,2025-01-01 00:00:00
01/01/2025,00:00,902316336.0,2913.0,1694.0,,Happy Days Home,2025-01-01 00:00:00
01/01/2025,00:00,518746052.0,4555.0,2600.0,,Boots,2025-01-01 00:00:00
01/01/2025,00:00,151369684.0,4215.0,2870.0,,A Life on Canvas,2025-01-01 00:00:00
01/01/2025,00:00,559995459.0,3577.0,2601.0,,Lloyds Pharmacy,2025-01-01 00:00:00
01/01/2025,00:00,559995459.0,2927.0,-650.0,850988316.0,,2025-01-01 00:00:00
01/01/2025,00:00,850988316.0,2361.0,650.0,559995459.0,,2025-01-01 00:00:00
01/01/2025,00:00,891173928.0,5414.0,3750.0,,Lloyds Pharmacy,2025-01-01 00:00:00
01/01/2025,00:00,891173928.0,4474.0,-940.0,663173760.0,,2025-01-01 00:00:00
01/01/2025,00:00,663173760.0,1982.0,940.0,891173928.0,,2025-01-01 00:00:00
01/01/2025,00:00,101348775.0,2222.0,1675.0,,Stitch By Stitch,2025-01-01 00:00:00
01/01/2025,00:00,193590245.0,3482.0,2708.0,,Howlader and Co Chartered Accountants,2025-01-01 00:00:00
01/01/2025,00:00,658145110.0,3424.1,1620.1,,Full of Beans,2025-01-01 00:00:00
01/01/2025,00:00,527375874.0,3396.0,1950.0,,A Cut Above,2025-01-01 00:00:00
01/01/2025,00:00,174365261.0,2475.0,1675.0,,White Hart,2025-01-01 00:00:00
01/01/2025,00:00,306862368.0,4188.0,2601.0,,Boots,2025-01-01 00:00:00
01/01/2025,00:00,306862368.0,3538.0,-650.0,875678398.0,,2025-01-01 00:00:00
01/01/2025,00:00,875678398.0,2390.0,650.0,306862368.0,,2025-01-01 00:00:00
01/01/2025,00:00,970100089.0,2676.0,1712.0,,Happy Days Home,2025-01-01 00:00:00
01/01/2025,00:00,970100089.0,1306.0,-1370.0,691412221.0,,2025-01-01 00:00:00
01/01/2025,00:00,691412221.0,2949.0,1370.0,970100089.0,,2025-01-01 00:00:00
01/01/2025,00:00,490037044.0,4017.0,3238.0,,Howlader and Co Chartered Accountants,2025-01-01 00:00:00
01/01/2025,00:00,582824136.0,4296.0,2300.0,,Town High,2025-01-01 00:00:00
01/01/2025,00:00,693667128.0,3594.0,1675.0,,Gamestation,2025-01-01 00:00:00
01/01/2025,00:00,693667128.0,2924.0,-670.0,513804828.0,,2025-01-01 00:00:00
01/01/2025,00:00,513804828.0,1762.0,670.0,693667128.0,,2025-01-01 00:00:00
01/01/2025,00:00,776957785.0,3166.0,1675.0,,Sainsbury,2025-01-01 00:00:00
01/01/2025,00:00,781040322.0,3767.0,2773.0,,A Cut Above,2025-01-01 00:00:00
01/01/2025,00:00,786514302.0,2837.0,1706.0,,Happy Days Home,2025-01-01 00:00:00
01/01/2025,00:00,786514302.0,2667.0,-170.0,183203410.0,,2025-01-01 00:00:00
01/01/2025,00:00,183203410.0,955.0,170.0,786514302.0,,2025-01-01 00:00:00
01/01/2025,00:00,744100127.0,3749.0,1943.0,,Happy Days Home,2025-01-01 00:00:00
01/01/2025,00:00,298215407.0,2916.0,1675.0,,Stitch By Stitch,2025-01-01 00:00:00
01/01/2025,00:00,231168366.0,3170.0,2472.0,,Town High,2025-01-01 00:00:00
01/01/2025,00:00,690984847.0,2267.0,1675.0,,Sainsbury,2025-01-01 00:00:00
01/01/2025,00:00,111863803.0,4064.66,2841.66,,Town High,2025-01-01 00:00:00
01/01/2025,00:00,411628100.0,3300.0,1625.0,,The Royal Oak,2025-01-01 00:00:00
01/01/2025,00:00,492544253.0,3201.0,1675.0,,Sainsbury,2025-01-01 00:00:00
01/01/2025,00:00,559371974.0,3434.0,2021.0,,A Cut Above,2025-01-01 00:00:00
01/01/2025,00:00,559371974.0,2674.0,-760.0,144641754.0,,2025-01-01 00:00:00
01/01/2025,00:00,144641754.0,2274.0,760.0,559371974.0,,2025-01-01 00:00:00
01/01/2025,00:00,769233997.0,3825.0,1842.0,,Amazon,2025-01-01 00:00:00
01/01/2025,00:00,559081385.0,3689.0,2472.0,,Town High,2025-01-01 00:00:00
01/01/2025,00:00,760833079.0,3732.0,1909.0,,Amazon,2025-01-01 00:00:00
01/01/2025,00:00,496800774.0,3874.0,3331.0,,LBG,2025-01-01 00:00:00
01/01/2025,00:00,496800774.0,3044.0,-830.0,374925981.0,,2025-01-01 00:00:00
01/01/2025,00:00,374925981.0,2693.0,830.0,496800774.0,,2025-01-01 00:00:00
01/01/2025,00:00,785082286.0,3181.1,1620.1,,Coffee Republic,2025-01-01 00:00:00
01/01/2025,00:00,785082286.0,2531.1,-650.0,176376870.0,,2025-01-01 00:00:00
01/01/2025,00:00,176376870.0,1526.0,650.0,785082286.0,,2025-01-01 00:00:00
01/01/2025,00:00,863592835.0,3130.0,1694.0,,Happy Days Home,2025-01-01 00:00:00
01/01/2025,00:00,984652930.0,3552.0,1819.0,,Happy Days Home,2025-01-01 00:00:00
01/01/2025,00:00,991462486.0,2900.6,1916.6,,Full of Beans,2025-01-01 00:00:00
01/01/2025,00:00,308311950.0,2408.92,1736.92,,Victoria Park,2025-01-01 00:00:00
01/01/2025,00:00,308311950.0,1018.92,-1390.0,905973838.0,,2025-01-01 00:00:00
01/01/2025,00:00,905973838.0,3169.0,1390.0,308311950.0,,2025-01-01 00:00:00
01/01/2025,00:00,567999816.0,4588.0,2602.0,,Lloyds Pharmacy,2025-01-01 00:00:00
01/01/2025,00:00,567999816.0,3508.0,-1080.0,735559105.0,,2025-01-01 00:00:00
01/01/2025,00:00,735559105.0,1737.0,1080.0,567999816.0,,2025-01-01 00:00:00
01/01/2025,00:00,442063475.0,4164.0,2602.0,,Lloyds Pharmacy,2025-01-01 00:00:00
01/01/2025,00:00,451924639.0,3365.5,1842.5,,Five Senses Art,2025-01-01 00:00:00
01/01/2025,00:00,725614425.0,4022.0,2683.0,,Amazon,2025-01-01 00:00:00
01/01/2025,00:00,725614425.0,3352.0,-670.0,205070322.0,,2025-01-01 00:00:00
01/01/2025,00:00,205070322.0,2300.0,670.0,725614425.0,,2025-01-01 00:00:00
01/01/2025,00:00,455951719.0,2912.0,1596.0,,Happy Days Home,2025-01-01 00:00:00
01/01/2025,00:00,500867383.0,2189.0,1675.0,,Sainsbury,2025-01-01 00:00:00
01/01/2025,00:00,500867383.0,1269.0,-920.0,673238810.0,,2025-01-01 00:00:00
01/01/2025,00:00,673238810.0,2597.0,920.0,500867383.0,,2025-01-01 00:00:00
01/01/2025,00:00,673238810.0,4272.0,1675.0,,Sainsbury,2025-01-01 00:00:00
01/01/2025,00:00,140186171.0,4286.0,2500.0,,Amazon,2025-01-01 00:00:00
01/01/2025,00:00,651195724.0,3346.66,2841.66,,Town High,2025-01-01 00:00:00
01/01/2025,00:00,651195724.0,2666.66,-680.0,612995982.0,,2025-01-01 00:00:00
01/01/2025,00:00,612995982.0,1437.0,680.0,651195724.0,,2025-01-01 00:00:00
01/01/2025,00:00,289262902.0,2566.0,1625.0,,The Crown,2025-01-01 00:00:00
01/01/2025,00:00,289262902.0,2186.0,-380.0,322828535.0,,2025-01-01 00:00:00
01/01/2025,00:00,322828535.0,1682.0,380.0,289262902.0,,2025-01-01 00:00:00
01/01/2025,00:00,236999735.0,3499.0,1819.0,,Happy Days Home,2025-01-01 00:00:00
01/01/2025,00:00,299304587.0,3469.0,1694.0,,Happy Days Home,2025-01-01 00:00:00
01/01/2025,00:00,894948272.0,4151.0,2739.0,,Amazon,2025-01-01 00:00:00
01/01/2025,00:00,819148176.0,3250.0,1683.0,,Game,2025-01-01 00:00:00
01/01/2025,00:00,819148176.0,2830.0,-420.0,971294384.0,,2025-01-01 00:00:00
01/01/2025,00:00,971294384.0,2110.0,420.0,819148176.0,,2025-01-01 00:00:00
01/01/2025,00:00,433119856.0,3424.0,1660.0,,Mountain Warehouse,2025-01-01 00:00:00
01/01/2025,00:00,433119856.0,2884.0,-540.0,712088840.0,,2025-01-01 00:00:00
01/01/2025,00:00,712088840.0,1070.0,540.0,433119856.0,,2025-01-01 00:00:00
01/01/2025,00:00,823403038.0,3241.0,1675.0,,Mountain Warehouse,2025-01-01 00:00:00
01/01/2025,00:00,823403038.0,2821.0,-420.0,317486532.0,,2025-01-01 00:00:00
01/01/2025,00:00,317486532.0,1072.0,420.0,823403038.0,,2025-01-01 00:00:00
01/01/2025,00:00,775766893.0,3465.0,2694.0,,Dorothy Perkins,2025-01-01 00:00:00
01/01/2025,00:00,775766893.0,2795.0,-670.0,143720076.0,,2025-01-01 00:00:00
01/01/2025,00:00,143720076.0,1400.0,670.0,775766893.0,,2025-01-01 00:00:00
01/01/2025,00:00,632577945.0,2810.0,1675.0,,Wool,2025-01-01 00:00:00
01/01/2025,00:00,103439190.0,3558.0,2567.0,,Amazon,2025-01-01 00:00:00
01/01/2025,00:00,545333793.0,3457.0,2083.0,,Howlader and Co Chartered Accountants,2025-01-01 00:00:00
01/01/2025,00:00,689352974.0,4190.0,2783.0,,CeX,2025-01-01 00:00:00
01/01/2025,00:00,554053886.0,3390.1,1620.1,,The View,2025-01-01 00:00:00
01/01/2025,00:00,255088745.0,4183.0,2600.0,,Lloyds Pharmacy,2025-01-01 00:00:00
